01-07 - SEX - TERRA FARMA,(32) 3281-3148
02-07 - SAB - VIDA & SAUDE,(32) 3281-1111
03-07 - DOM - VARGAS ,(32) 3281-1655
04-07 - SEG - PHARMAVIDA,(32) 3281-1719
05-07 - TER - SAO JOSE,(32) 3281-1267
06-07 - QUA - RODRIGUES,(32) 3281-1719
07-07 - QUI - VERDE FARMA,(32) 3281-1718
08-07 - SEX - PAIVA,(32) 3281-1309
09-07 - SAB - TERRA FARMA,(32) 3281-3148
10-07 - DOM - VIDA & SAUDE,(32) 3281-1111
11-07 - SEG - VARGAS ,(32) 3281-1655
12-07 - TER - PHARMAVIDA,(32) 3281-1719
13-07 - QUA - SAO JOSE,(32) 3281-1267
14-07 - QUI - RODRIGUES,(32) 3281-1719
15-07 - SEX - VERDE FARMA,(32) 3281-1718
16-07 - SAB - PAIVA,(32) 3281-1309
17-07 - DOM - TERRA FARMA,(32) 3281-3148
18-07 - SEG - VIDA & SAUDE,(32) 3281-1111
19-07 - TER - VARGAS ,(32) 3281-1655
20-07 - QUA - PHARMAVIDA,(32) 3281-1719
21-07 - QUI - SAO JOSE,(32) 3281-1267
22-07 - SEX - RODRIGUES,(32) 3281-1719
23-07 - SAB - VERDE FARMA,(32) 3281-1718
24-07 - DOM - PAIVA,(32) 3281-1309
25-07 - SEG - TERRA FARMA,(32) 3281-3148
26-07 - TER - VIDA & SAUDE,(32) 3281-1111
27-07 - QUA - VARGAS ,(32) 3281-1655
28-07 - QUI - PHARMAVIDA,(32) 3281-1719
29-07 - SEX - SAO JOSE,(32) 3281-1267
30-07 - SAB - RODRIGUES,(32) 3281-1719
31-07 - DOM - VERDE FARMA,(32) 3281-1718
