01-10 - SAB - SAO JOSE,(32) 3281-1267
02-10 - DOM - RODRIGUES,(32) 3281-1719
03-10 - SEG - VERDE FARMA,(32) 3281-1718
04-10 - TER - PAIVA,(32) 3281-1309
05-10 - QUA - TERRA FARMA,(32) 3281-3148
06-10 - QUI - VIDA & SAUDE,(32) 3281-1111
07-10 - SEX - VARGAS ,(32) 3281-1655
08-10 - SAB - PHARMAVIDA,(32) 3281-1719
09-10 - DOM - SAO JOSE,(32) 3281-1267
10-10 - SEG - RODRIGUES,(32) 3281-1719
11-10 - TER - VERDE FARMA,(32) 3281-1718
12-10 - QUA - PAIVA,(32) 3281-1309
13-10 - QUI - TERRA FARMA,(32) 3281-3148
14-10 - SEX - VIDA & SAUDE,(32) 3281-1111
15-10 - SAB - VARGAS ,(32) 3281-1655
16-10 - DOM - PHARMAVIDA,(32) 3281-1719
17-10 - SEG - SAO JOSE,(32) 3281-1267
18-10 - TER - RODRIGUES,(32) 3281-1719
19-10 - QUA - VERDE FARMA,(32) 3281-1718
20-10 - QUI - PAIVA,(32) 3281-1309
21-10 - SEX - TERRA FARMA,(32) 3281-3148
22-10 - SAB - VIDA & SAUDE,(32) 3281-1111
23-10 - DOM - VARGAS ,(32) 3281-1655
24-10 - SEG - PHARMAVIDA,(32) 3281-1719
25-10 - TER - SAO JOSE,(32) 3281-1267
26-10 - QUA - RODRIGUES,(32) 3281-1719
27-10 - QUI - VERDE FARMA,(32) 3281-1718
28-10 - SEX - PAIVA,(32) 3281-1309
29-10 - SAB - TERRA FARMA,(32) 3281-3148
30-10 - DOM - VIDA & SAUDE,(32) 3281-1111
31-10 - SEG - VARGAS ,(32) 3281-1655
