01-08 - SEG - PAIVA,(32) 3281-1309
02-08 - TER - TERRA FARMA,(32) 3281-3148
03-08 - QUA - VIDA & SAUDE,(32) 3281-1111
04-08 - QUI - VARGAS ,(32) 3281-1655
05-08 - SEX - PHARMAVIDA,(32) 3281-1719
06-08 - SAB - SAO JOSE,(32) 3281-1267
07-08 - DOM - RODRIGUES,(32) 3281-1719
08-08 - SEG - VERDE FARMA,(32) 3281-1718
09-08 - TER - PAIVA,(32) 3281-1309
10-08 - QUA - TERRA FARMA,(32) 3281-3148
11-08 - QUI - VIDA & SAUDE,(32) 3281-1111
12-08 - SEX - VARGAS ,(32) 3281-1655
13-08 - SAB - PHARMAVIDA,(32) 3281-1719
14-08 - DOM - SAO JOSE,(32) 3281-1267
15-08 - SEG - RODRIGUES,(32) 3281-1719
16-08 - TER - VERDE FARMA,(32) 3281-1718
17-08 - QUA - PAIVA,(32) 3281-1309
18-08 - QUI - TERRA FARMA,(32) 3281-3148
19-08 - SEX - VIDA & SAUDE,(32) 3281-1111
20-08 - SAB - VARGAS ,(32) 3281-1655
21-08 - DOM - PHARMAVIDA,(32) 3281-1719
22-08 - SEG - SAO JOSE,(32) 3281-1267
23-08 - TER - RODRIGUES,(32) 3281-1719
24-08 - QUA - VERDE FARMA,(32) 3281-1718
25-08 - QUI - PAIVA,(32) 3281-1309
26-08 - SEX - TERRA FARMA,(32) 3281-3148
27-08 - SAB - VIDA & SAUDE,(32) 3281-1111
28-08 - DOM - VARGAS ,(32) 3281-1655
29-08 - SEG - PHARMAVIDA,(32) 3281-1719
30-08 - TER - SAO JOSE,(32) 3281-1267
31-08 - QUA - RODRIGUES,(32) 3281-1719
