01-06 - QUA - VARGAS ,(32) 3281-1655
02-06 - QUI - PHARMAVIDA,(32) 3281-1719
03-06 - SEX - SAO JOSE,(32) 3281-1267
04-06 - SAB - RODRIGUES,(32) 3281-1719
05-06 - DOM - VERDE FARMA,(32) 3281-1718
06-06 - SEG - PAIVA,(32) 3281-1309
07-06 - TER - TERRA FARMA,(32) 3281-3148
08-06 - QUA - VIDA & SAUDE,(32) 3281-1111
09-06 - QUI - VARGAS ,(32) 3281-1655
10-06 - SEX - PHARMAVIDA,(32) 3281-1719
11-06 - SAB - SAO JOSE,(32) 3281-1267
12-06 - DOM - RODRIGUES,(32) 3281-1719
13-06 - SEG - VERDE FARMA,(32) 3281-1718
14-06 - TER - PAIVA,(32) 3281-1309
15-06 - QUA - TERRA FARMA,(32) 3281-3148
16-06 - QUI - VIDA & SAUDE,(32) 3281-1111
17-06 - SEX - VARGAS ,(32) 3281-1655
18-06 - SAB - PHARMAVIDA,(32) 3281-1719
19-06 - DOM - SAO JOSE,(32) 3281-1267
20-06 - SEG - RODRIGUES,(32) 3281-1719
21-06 - TER - VERDE FARMA,(32) 3281-1718
22-06 - QUA - PAIVA,(32) 3281-1309
23-06 - QUI - TERRA FARMA,(32) 3281-3148
24-06 - SEX - VIDA & SAUDE,(32) 3281-1111
25-06 - SAB - VARGAS ,(32) 3281-1655
26-06 - DOM - PHARMAVIDA,(32) 3281-1719
27-06 - SEG - SAO JOSE,(32) 3281-1267
28-06 - TER - RODRIGUES,(32) 3281-1719
29-06 - QUA - VERDE FARMA,(32) 3281-1718
30-06 - QUI - PAIVA,(32) 3281-1309
