01-03 - TER - VERDE FARMA,(32) 3281-1718
02-03 - QUA - PAIVA,(32) 3281-1309
03-03 - QUI - TERRA FARMA,(32) 3281-3148
04-03 - SEX - VIDA & SAUDE,(32) 3281-1111
05-03 - SAB - VARGAS ,(32) 3281-1655
06-03 - DOM - PHARMAVIDA,(32) 3281-1719
07-03 - SEG - SAO JOSE,(32) 3281-1267
08-03 - TER - RODRIGUES,(32) 3281-1719
09-03 - QUA - VERDE FARMA,(32) 3281-1718
10-03 - QUI - PAIVA,(32) 3281-1309
11-03 - SEX - TERRA FARMA,(32) 3281-3148
12-03 - SAB - VIDA & SAUDE,(32) 3281-1111
13-03 - DOM - VARGAS ,(32) 3281-1655
14-03 - SEG - PHARMAVIDA,(32) 3281-1719
15-03 - TER - SAO JOSE,(32) 3281-1267
16-03 - QUA - RODRIGUES,(32) 3281-1719
17-03 - QUI - VERDE FARMA,(32) 3281-1718
18-03 - SEX - PAIVA,(32) 3281-1309
19-03 - SAB - TERRA FARMA,(32) 3281-3148
20-03 - DOM - VIDA & SAUDE,(32) 3281-1111
21-03 - SEG - VARGAS ,(32) 3281-1655
22-03 - TER - PHARMAVIDA,(32) 3281-1719
23-03 - QUA - SAO JOSE,(32) 3281-1267
24-03 - QUI - RODRIGUES,(32) 3281-1719
25-03 - SEX - VERDE FARMA,(32) 3281-1718
26-03 - SAB - PAIVA,(32) 3281-1309
27-03 - DOM - TERRA FARMA,(32) 3281-3148
28-03 - SEG - VIDA & SAUDE,(32) 3281-1111
29-03 - TER - VARGAS ,(32) 3281-1655
30-03 - QUA - PHARMAVIDA,(32) 3281-1719
31-03 - QUI - SAO JOSE,(32) 3281-1267
