01-04 - SEX - RODRIGUES,(32) 3281-1719
02-04 - SAB - VERDE FARMA,(32) 3281-1718
03-04 - DOM - PAIVA,(32) 3281-1309
04-04 - SEG - TERRA FARMA,(32) 3281-3148
05-04 - TER - VIDA & SAUDE,(32) 3281-1111
06-04 - QUA - VARGAS ,(32) 3281-1655
07-04 - QUI - PHARMAVIDA,(32) 3281-1719
08-04 - SEX - SAO JOSE,(32) 3281-1267
09-04 - SAB - RODRIGUES,(32) 3281-1719
10-04 - DOM - VERDE FARMA,(32) 3281-1718
11-04 - SEG - PAIVA,(32) 3281-1309
12-04 - TER - TERRA FARMA,(32) 3281-3148
13-04 - QUA - VIDA & SAUDE,(32) 3281-1111
14-04 - QUI - VARGAS ,(32) 3281-1655
15-04 - SEX - PHARMAVIDA,(32) 3281-1719
16-04 - SAB - SAO JOSE,(32) 3281-1267
17-04 - DOM - RODRIGUES,(32) 3281-1719
18-04 - SEG - VERDE FARMA,(32) 3281-1718
19-04 - TER - PAIVA,(32) 3281-1309
20-04 - QUA - TERRA FARMA,(32) 3281-3148
21-04 - QUI - VIDA & SAUDE,(32) 3281-1111
22-04 - SEX - VARGAS ,(32) 3281-1655
23-04 - SAB - PHARMAVIDA,(32) 3281-1719
24-04 - DOM - SAO JOSE,(32) 3281-1267
25-04 - SEG - RODRIGUES,(32) 3281-1719
26-04 - TER - VERDE FARMA,(32) 3281-1718
27-04 - QUA - PAIVA,(32) 3281-1309
28-04 - QUI - TERRA FARMA,(32) 3281-3148
29-04 - SEX - VIDA & SAUDE,(32) 3281-1111
30-04 - SAB - VARGAS ,(32) 3281-1655
