01-01 - SEX - VARGAS ,(32) 3281-1655
02-01 - SAB - PHARMAVIDA,(32) 3281-1719
03-01 - DOM - SAO JOSE,(32) 3281-1267
04-01 - SEG - RODRIGUES,(32) 3281-1719
05-01 - TER - VERDE FARMA,(32) 3281-1718
06-01 - QUA - PAIVA,(32) 3281-1309
07-01 - QUI - TERRA FARMA,(32) 3281-3148
08-01 - SEX - VIDA & SAUDE,(32) 3281-1111
09-01 - SAB - VARGAS ,(32) 3281-1655
10-01 - DOM - PHARMAVIDA,(32) 3281-1719
11-01 - SEG - SAO JOSE,(32) 3281-1267
12-01 - TER - RODRIGUES,(32) 3281-1719
13-01 - QUA - VERDE FARMA,(32) 3281-1718
14-01 - QUI - PAIVA,(32) 3281-1309
15-01 - SEX - TERRA FARMA,(32) 3281-3148
16-01 - SAB - VIDA & SAUDE,(32) 3281-1111
17-01 - DOM - VARGAS ,(32) 3281-1655
18-01 - SEG - PHARMAVIDA,(32) 3281-1719
19-01 - TER - SAO JOSE,(32) 3281-1267
20-01 - QUA - RODRIGUES,(32) 3281-1719
21-01 - QUI - VERDE FARMA,(32) 3281-1718
22-01 - SEX - PAIVA,(32) 3281-1309
23-01 - SAB - TERRA FARMA,(32) 3281-3148
24-01 - DOM - VIDA & SAUDE,(32) 3281-1111
25-01 - SEG - VARGAS ,(32) 3281-1655
26-01 - TER - PHARMAVIDA,(32) 3281-1719
27-01 - QUA - SAO JOSE,(32) 3281-1267
28-01 - QUI - RODRIGUES,(32) 3281-1719
29-01 - SEX - VERDE FARMA,(32) 3281-1718
30-01 - SAB - PAIVA,(32) 3281-1309
31-01 - DOM - TERRA FARMA,(32) 3281-3148
