01-02 - SEG - VIDA & SAUDE,(32) 3281-1111
02-02 - TER - VARGAS ,(32) 3281-1655
03-02 - QUA - PHARMAVIDA,(32) 3281-1719
04-02 - QUI - SAO JOSE,(32) 3281-1267
05-02 - SEX - RODRIGUES,(32) 3281-1719
06-02 - SAB - VERDE FARMA,(32) 3281-1718
07-02 - DOM - PAIVA,(32) 3281-1309
08-02 - SEG - TERRA FARMA,(32) 3281-3148
09-02 - TER - VIDA & SAUDE,(32) 3281-1111
10-02 - QUA - VARGAS ,(32) 3281-1655
11-02 - QUI - PHARMAVIDA,(32) 3281-1719
12-02 - SEX - SAO JOSE,(32) 3281-1267
13-02 - SAB - RODRIGUES,(32) 3281-1719
14-02 - DOM - VERDE FARMA,(32) 3281-1718
15-02 - SEG - PAIVA,(32) 3281-1309
16-02 - TER - TERRA FARMA,(32) 3281-3148
17-02 - QUA - VIDA & SAUDE,(32) 3281-1111
18-02 - QUI - VARGAS ,(32) 3281-1655
19-02 - SEX - PHARMAVIDA,(32) 3281-1719
20-02 - SAB - SAO JOSE,(32) 3281-1267
21-02 - DOM - RODRIGUES,(32) 3281-1719
22-02 - SEG - VERDE FARMA,(32) 3281-1718
23-02 - TER - PAIVA,(32) 3281-1309
24-02 - QUA - TERRA FARMA,(32) 3281-3148
25-02 - QUI - VIDA & SAUDE,(32) 3281-1111
26-02 - SEX - VARGAS ,(32) 3281-1655
27-02 - SAB - PHARMAVIDA,(32) 3281-1719
28-02 - DOM - SAO JOSE,(32) 3281-1267
29-02 - SEG - RODRIGUES,(32) 3281-1719
