01-09 - QUI - VERDE FARMA,(32) 3281-1718
02-09 - SEX - PAIVA,(32) 3281-1309
03-09 - SAB - TERRA FARMA,(32) 3281-3148
04-09 - DOM - VIDA & SAUDE,(32) 3281-1111
05-09 - SEG - VARGAS ,(32) 3281-1655
06-09 - TER - PHARMAVIDA,(32) 3281-1719
07-09 - QUA - SAO JOSE,(32) 3281-1267
08-09 - QUI - RODRIGUES,(32) 3281-1719
09-09 - SEX - VERDE FARMA,(32) 3281-1718
10-09 - SAB - PAIVA,(32) 3281-1309
11-09 - DOM - TERRA FARMA,(32) 3281-3148
12-09 - SEG - VIDA & SAUDE,(32) 3281-1111
13-09 - TER - VARGAS ,(32) 3281-1655
14-09 - QUA - PHARMAVIDA,(32) 3281-1719
15-09 - QUI - SAO JOSE,(32) 3281-1267
16-09 - SEX - RODRIGUES,(32) 3281-1719
17-09 - SAB - VERDE FARMA,(32) 3281-1718
18-09 - DOM - PAIVA,(32) 3281-1309
19-09 - SEG - TERRA FARMA,(32) 3281-3148
20-09 - TER - VIDA & SAUDE,(32) 3281-1111
21-09 - QUA - VARGAS ,(32) 3281-1655
22-09 - QUI - PHARMAVIDA,(32) 3281-1719
23-09 - SEX - SAO JOSE,(32) 3281-1267
24-09 - SAB - RODRIGUES,(32) 3281-1719
25-09 - DOM - VERDE FARMA,(32) 3281-1718
26-09 - SEG - PAIVA,(32) 3281-1309
27-09 - TER - TERRA FARMA,(32) 3281-3148
28-09 - QUA - VIDA & SAUDE,(32) 3281-1111
29-09 - QUI - VARGAS ,(32) 3281-1655
30-09 - SEX - PHARMAVIDA,(32) 3281-1719
